Date,T-BILL,CANADA,JAPAN,FRANCE,GERMANY,ITALY,SWITZERLAND,UNITED KINGDOM ,USA ,WORLD
201005,0.0015,-0.070088727,-0.080910525,-0.146276473,-0.119985193,-0.164622663,-0.110553567,-0.11330902,-0.082679221,0.020879887
201006,0.0017,-0.053900745,-0.020454341,-0.018634399,-0.002936335,-0.014029463,0.042636961,-0.024738132,-0.054712522,0.029013189
201007,0.0014,0.069442549,0.035238137,0.123016958,0.094898027,0.158277976,0.048101693,0.119860201,0.068635605,-0.002852033
201008,0.00135,-0.02069966,-0.023138656,-0.062132965,-0.059283225,-0.074471793,0.024928946,-0.02478835,-0.046662337,-0.02607461
201009,0.00155,0.075774136,0.037813353,0.144842873,0.132524618,0.112344356,0.05456602,0.087830208,0.089215629,0.051871229
201010,0.0011,0.029419456,0.020427508,0.050862685,0.078080671,0.063577997,0.022802126,0.037871556,0.038194125,-0.023323673
201011,0.0016,0.008926142,0.020848526,-0.112965774,-0.050801315,-0.159611072,-0.036077113,-0.052269663,-0.001213603,0.048161929
201012,0.00115,0.074461524,0.075308482,0.086831818,0.069993888,0.087924272,0.090483378,0.072104331,0.06518847,0.038343687
201101,0.00145,0.002705988,0.001200801,0.069428776,0.040248956,0.111279566,-0.003222054,0.018949515,0.02295587,0.015946496
201102,0.00135,0.071810231,0.045250759,0.034578011,0.034781802,0.028020427,0.031715092,0.039040127,0.031304688,0.02005011
201103,0.0009,-0.00220883,-0.100680155,-0.000933009,-0.004185768,-0.004155827,-0.020793217,-0.029138787,-0.000315699,-0.037692572
201104,0.0004,0.010147428,0.003571401,0.075309591,0.105762539,0.079618517,0.082544437,0.068149947,0.029479801,0.048133829
201105,0.0004,-0.031676516,-0.016551798,-0.051421678,-0.077285222,-0.085858521,0.016323253,-0.025664836,-0.013006434,-0.000913215
201106,0.00015,-0.030787739,0.014172399,0.002058811,0.019347228,-0.035158243,-0.04381463,-0.032108584,-0.018554634,0.008286187
