Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
20020131,0.017200000286102295,0.0009483993909579318,-0.0002233712918722,0.008165265549786301,-0.005637819753723921,-0.0029983442888294933,-0.006821163449497425,0.0004530889790538388,-0.0022660440148941155,-0.009896348270934389,-0.00188011148895721
20020228,0.017200000286102295,-0.013223578109542725,-0.012864500969585947,-0.01741096217035461,-0.020159193200194263,-0.01746139338902058,-0.020196962684499314,-0.023376988164466223,-0.02004716003885352,-0.036745133951170454,-0.01885852756154235
20020331,0.01740000009536743,-0.019691128281013656,-0.01935489363318184,-0.02423131375062594,-0.019624751527460512,-0.017315583197203572,-0.01572675918441972,-0.017333111412738505,-0.0149448997951349,-0.007372175356370171,-0.00970055047564055
20020430,0.017300000190734865,-0.004913172369562072,-0.014032667263413115,0.001075413865531727,-0.01224454989763893,-0.012471078135058006,-0.013218077794869446,-0.003562432297436493,-0.006534508333682651,-0.004188797039054289,8.161436002745645e-05
20020531,0.01705000042915344,-0.013453026430203595,-0.006256959024881206,-0.010024693897647758,-0.007134591562660804,-0.006754435511901077,-0.018100913910820096,-0.019079039713739074,-0.0147206366988235,-0.03817196899827632,-0.02069104712853121
20020630,0.01659000039100647,-0.011159088029055896,-0.0036005286645226352,-0.004553772112011774,-0.012660678941545706,-0.023499723278639625,-0.042290455295001195,0.0029836963521716053,-0.01741775549083429,-0.015387094632463821,0.014238159635639801
20020731,0.016649999618530274,-0.004564311314822607,0.006544363971277851,-0.016018771652591062,-0.021325049860934267,0.00195158760642054,0.011577955427349126,-0.002201916355101214,-0.006858061900105714,-0.019330804101223162,0.040096376892436725
20020831,0.016449999809265137,-0.013110131571270355,-0.008932868347607103,-0.004882785847368721,-0.01609373358185109,-0.008201807136406714,-0.01451323102717178,-0.023930383628629585,-0.018334920807041657,-0.02673314487137584,-0.028687086265141264
20020930,0.015269999504089355,-0.015126068343366335,-0.03730840815350883,-0.02602368106947063,-0.044734220254887436,-0.022634389653716135,-0.015574906458873277,-0.003265764985831225,-0.029882525812346517,-0.041016481762363666,-0.03996135752878071
20021031,0.014170000553131104,-0.021619281718128817,-0.02963996701002433,-0.0165135180013731,-0.019220774858204705,-0.022134196904267052,-0.024623019821254456,-0.016761490264693694,-0.01972737847065858,-0.010890559830311399,-0.023677511459182995
20021130,0.012020000219345094,-0.016548446230204357,-0.008074139442853612,0.008568205464759893,-0.017579668296556612,-0.017379347861321344,-0.016495671522614747,-0.01255025525794109,-0.014746679708419847,-0.02228888729081263,-0.011848575934691569
20021231,0.011820000410079957,-0.014272664535870939,-0.009411535603433677,-0.007974465996654419,-0.005043911281672694,-0.011624510695665741,-0.009123049728469477,-0.00956450298709292,-0.011331033434541631,-0.01435702559665673,-0.018455956361260833
20030131,0.011480000019073486,0.006944602421799305,0.010345040931504366,0.0021733587424791687,0.0011252653429243038,0.013267893587324005,0.007469398404925911,-0.004232075190810085,0.0016503525079009738,-0.005250356598023281,0.015882145080780258
20030228,0.011749999523162842,-0.009508946258524456,-0.01069950775263371,-0.010776456621744358,-0.002647121689469482,-0.018032732157703468,-0.008083190165103206,-0.012085143960442801,-0.007127895828133335,0.000672933834292783,-0.01554525510208513
20030331,0.010900000333786011,-0.030537306044337756,-0.02282535445920844,-0.027598606546029282,-0.02720024574972279,-0.019653153774578283,-0.022147048927660118,-0.013776364076843095,-0.02864175751296233,-0.02423750113478136,-0.027763584872518628
20030430,0.0110099995136261,-0.007139291508904324,-0.0028772126770942874,-0.003994168240129675,-0.013545721450898239,-0.016901034202244057,-0.008423712445460823,-0.010911456299532812,-0.012012400714698777,-0.02079968939063167,-0.0028232445246776944
20030531,0.010850000381469726,0.009100548491305479,0.0047186373078659475,0.005974214321746399,0.006383923969996732,-0.0032797865468938174,0.0009016648915708761,0.0023258006910685178,0.003839789425034615,-0.00673542240350038,0.000937124420198646
20030630,0.008379999995231629,-0.013086017083381946,-0.016323769828238105,-0.0075966812481495765,-0.004010144512779451,-0.007992375443212274,-0.014905725941235628,-0.00650901738235292,-0.010141867970423928,-0.01848880153994737,-0.016834019428333114
20030731,0.009269999861717225,-0.012484274308544676,-0.00911201177173698,0.001959348977158923,-0.0030471233542313167,-0.013205274366833327,-0.01654270187229557,-0.0073577273247665605,-0.0064142672952033734,-0.008462863292059962,-0.015129756050889568
20030831,0.009599999785423278,-0.002405564075087274,-0.005245669936078234,-0.005562085003315019,0.0035799898080963594,-0.007297567915866604,-0.0042746531731587675,-0.005347050271956723,-0.00444465818386457,-0.001768687531692176,-0.01056532923475464
20030930,0.009259999990463256,-0.01692465749169702,-0.013737712748202319,-0.02061034474345546,-0.012049084127567285,-0.016089326510113383,-0.011355315302881239,-0.01402232162705989,-0.01980068846686854,-0.029081225959083773,-0.012778633446036664
20031031,0.009319999814033508,-0.007698417954345086,0.005028864879966722,-0.012298019722028432,-0.010581576970920744,-0.005267176140500328,0.0008751594759916614,-0.011821552378435025,-0.005719010509731956,-0.011543733812565902,0.003192206843959166
20031130,0.009079999923706054,-0.010648582716962509,-0.013074909082405484,-0.006880281075176027,-0.008578746247723595,-0.0074854390876439815,-0.011342648118830737,-0.008900206335799818,-0.009316194369861218,-0.0037075358539076448,-0.009470977506365412
20031231,0.009070000052452088,-0.008332268132251283,-0.00898074307897019,-0.008343725289705846,-0.00466793093083416,-0.004395032621247817,-0.006144377717619369,-0.012185550237080733,-0.007015253227557375,-0.009224900099839398,-0.004014045305313541
